Spread,Delta, Estimate
1,420,4.000000e-01
1,860,4.000000e-01
1,640,5.000000e-01
1,200,8.000000e-01
1,860,2.000000e-01
1,420,4.000000e-01
1,200,7.000000e-01
1,640,5.000000e-01
1000,420,7.000000e-01
1000,860,4.000000e-01
1000,640,5.000000e-01
1000,200,8.000000e-01
1000,860,5.000000e-01
1000,420,6.000000e-01
1000,200,9.000000e-01
1000,640,5.000000e-01
10,420,7.000000e-01
10,860,4.000000e-01
10,640,5.000000e-01
10,200,8.000000e-01
10,860,5.000000e-01
10,420,6.000000e-01
10,200,9.000000e-01
10,640,5.000000e-01
